3206,2022-01-30,Kec. Salawu Ds. Sukarasa,TASIKMALAYA,JAWA BARAT,,,,0,,0
3202,2022-01-30,Kec. Cikidang Ds. Mekarnangka Dsn. Sukasirna,SUKABUMI,JAWA BARAT,,,,5,,0
5104,2022-01-30,Kec. Tampaksiring Ds. Tampaksiring,GIANYAR,BALI,,,,0,,0
3208,2022-01-31,Kec. Garawangi Ds. Cirukem Ds. Kadatuan Kec. Ciniru Ds. Longkewang Ds. Mugkaldatar Ds. Rambatan,KUNINGAN,JAWA BARAT,,,,0,,6
3301,2022-01-31,Kec. Cimanggu Ds. Cisalak,CILACAP,JAWA TENGAH,,,,0,,0
3329,2022-01-31,Kec. Paguyangan Ds. Ragatunjung,BREBES,JAWA TENGAH,,,,0,,0
3328,2022-02-01,Kec. Bumijawa Ds. Carul,TEGAL,JAWA TENGAH,,,1,1,,0
3329,2022-02-01,Kec. Paguyangan Ds. Jipang Bantarkawung,BREBES,JAWA TENGAH,,,,1,,0
1278,2022-02-01,Kec. Gunungsitoli Utara Ds. Lasara Sowu (Galian Tipe C),KOTA GUNUNG SITOLI,SUMATERA UTARA,1,,,0,,0
3329,2022-02-02,Kec. Bantarkawung Ds. Jipang,BREBES,JAWA TENGAH,,,,0,,0
3207,2022-02-03,Kec.  Ciamis Ds. Linggarsari,CIAMIS,JAWA BARAT,,,,2,,0
3302,2022-02-03,Kec. Kembaran Ds. Bantarwuri,BANYUMAS,JAWA TENGAH,,,,0,,0
3204,2022-02-03,Kec. Soreang Ds. Keramat Mulya,BANDUNG,JAWA BARAT,,,,1,,0
3210,2022-02-03,Kec.  Banjaran  Ds. Cimeong Kec. Lemah Sugih Ds. Cigaleuh Kec.  Cikijing Ds. Sindang Panji,MAJALENGKA,JAWA BARAT,,,,0,,0
3372,2022-02-04,Kec.  Laweyan Kel. Pajang,KOTA SURAKARTA,JAWA TENGAH,,,,0,,0
1801,2022-02-04,Kec.  Bandar Negeri Suoh,LAMPUNG BARAT,LAMPUNG,,,,0,,1
3202,2022-02-04,Kec.  Cibadak Ds. Sukasirna,SUKABUMI,JAWA BARAT,,,,1,,0
3301,2022-02-05,Kec. Dayeh Luruh  Ds. Bingkeng,CILACAP,JAWA TENGAH,,,,1,,0
5107,2022-02-05,Kec. Bebadem Ds. Sibetan,KARANGASEM,BALI,,,,1,,0
1801,2022-02-05,Kec.  Balik Bukit Ds. Pekon Kubu,LAMPUNG BARAT,LAMPUNG,,,,2,,0
3204,2022-02-05,Kec. Cimenyan Ds. Padasuka,BANDUNG,JAWA BARAT,,,,1,,0
3203,2022-02-06,Kec.  Sukaresmi  Ds. Cikancana,CIANJUR,JAWA BARAT,2,,2,1,,0
3501,2022-02-06,Kec.  Pacitan Ds.  Ponggok,PACITAN,JAWA TIMUR,,,,2,,0
3201,2022-02-06,Kec.  Ciawi Ds. Banjarsari,BOGOR,JAWA BARAT,,,,1,,0
3212,2022-02-07,Kec. Kroya Ds. Layamulya Kec. Sukagumiwang            Ds.Sukagumiwang,INDRAMAYU,JAWA BARAT,,,2,0,,1
1372,2022-02-07,Kec.  Tanjung Harapan Kel. Layiang,KOTA SOLOK,SUMATERA BARAT,,,,1,,0
3307,2022-02-09,Kec. Kejajar Ds. Parikesit,WONOSOBO,JAWA TENGAH,,,1,1,,0
3202,2022-02-09,Kec. Nyalindung Ds. Wangunreja,SUKABUMI,JAWA BARAT,,,,2,,0
3329,2022-02-09,Kec. Ketanggungan Ds. Sindangjaya,BREBES,JAWA TENGAH,,,,0,,0
3302,2022-02-09,Kec. Cilongok Ds. Gununglurah,BANYUMAS,JAWA TENGAH,,,,2,,0
3302,2022-02-09,Kec. Gumelar Ds. Samudra,BANYUMAS,JAWA TENGAH,,,,0,,0
3217,2022-02-09,Kec. Cililin Ds. Rancapanggung Ds. Batulayang,BANDUNG BARAT,JAWA BARAT,,,,2,,0
1218,2022-02-10,Kec. Dolok Merawan Ds. Dolok Merawan,SERDANG BEDAGAI,SUMATERA UTARA,,,,1,,0
3301,2022-02-10,Kec. Karangpucung Ds. Pamulihan,CILACAP,JAWA TENGAH,,,,2,,0
3207,2022-02-11,Kec. Rancah Ds. Dadiharja,CIAMIS,JAWA BARAT,,,,1,,0
7307,2022-02-11,Kec. Sinjai Tengah Ds. Baru  Ds. Saotanre,SINJAI,SULAWESI SELATAN,,,,4,,0
7307,2022-02-11,Kab. Sinjai Kec. Sinjai Selatan Ds. Polewali,SINJAI,SULAWESI SELATAN,,,,0,,0
3502,2022-02-12,Kec. Sawoo Ds. Sawoo,PONOROGO,JAWA TIMUR,,,,9,,1
3317,2022-02-12,Kec. Pancur Ds. Ngroto,REMBANG,JAWA TENGAH,,,1,1,,0
3328,2022-02-12,Kec. Pangkah  Ds. Dermasuci   Kec. Jatinegara Ds. Padasari,TEGAL,JAWA TENGAH,,,,232,,18
3503,2022-02-12,Kec. Tugu Ds. Pucanganak  Ds. Dermosari,TRENGGALEK,JAWA TIMUR,,,,1,,1
3329,2022-02-13,Kec. Banjarharjo Ds. Bandungsari,BREBES,JAWA TENGAH,,,,3,,0
3323,2022-02-13,Kec. Temanggung Ds. Klepu Kec. Tembarak Ds. Purwodadi,TEMANGGUNG,JAWA TENGAH,,,,0,,1
3211,2022-02-13,Kec. Ganeas Ds. Cikalong,SUMEDANG,JAWA BARAT,,,,0,,0
3208,2022-02-14,Kec. Cibingbin Desa Sukaharja  Kec. Luragung Desa Panyosogan,KUNINGAN,JAWA BARAT,,,,3,,0
3374,2022-02-14,Kec.  Candisari Kel. Jombang Kec. Gajahmungkur Kel. Gajahmungkur,KOTA SEMARANG,JAWA TENGAH,,,,1,,0
7318,2022-02-15,Kec. Rano Dusun. Kayangan,TANA TORAJA,SULAWESI SELATAN,,,,0,,0
3505,2022-02-15,Kec. Gandusari Ds. Krisik,BLITAR,JAWA TIMUR,,,,3,,0
3201,2022-02-16,Kec. Klapanunggal  Ds. Leuwi Karet,BOGOR,JAWA BARAT,,,,2,,0
3201,2022-02-16,Kec. Leuwiliang Ds. Puraseda,BOGOR,JAWA BARAT,,,,0,,0
3217,2022-02-16,Kec. Cipongkor Ds. Karangsari,BANDUNG BARAT,JAWA BARAT,,,,2,,0
3201,2022-02-16,"Kec. Leuwiliang, Ds. Pabangbon   Ds. Purasari",BOGOR,JAWA BARAT,,,,1,,0
3211,2022-02-16,Kec. Sumedang Selatan Ds. Siherang,SUMEDANG,JAWA BARAT,,,,1,,0
3202,2022-02-16,Kec. Parakansalak Ds. Sukatani Kec. Nagrak Ds. Nagrak Utara,SUKABUMI,JAWA BARAT,,,,1,,0
3201,2022-02-16,Kec. Sukamakmur Ds.  Pabuaran,BOGOR,JAWA BARAT,,,,1,,0
3201,2022-02-16,Kec.  Citerureup Ds. Tahur Kec. Leuwiliang Ds. Purasari Ds. Tajur,BOGOR,JAWA BARAT,,,,3,,0
3216,2022-02-17,kec. Tambun Utara Desa. Satria,BEKASI,JAWA BARAT,,,,0,,0
3324,2022-02-17,Kec. Pageruyung  Ds. Petung,KENDAL,JAWA TENGAH,,,1,1,,0
3203,2022-02-17,Kec. Cibinong Ds. Padasuka,CIANJUR,JAWA BARAT,,,,0,,1
3210,2022-02-17,Kec. Maja Ds. Sindangkerta,MAJALENGKA,JAWA BARAT,,,,3,,0
3329,2022-02-17,Kec. Paguyangan Ds. Ragatanjung,BREBES,JAWA TENGAH,,,,0,,0
3213,2022-02-17,Kec. Cisalak Ds. Cupunagara Ds. Darmaga,SUBANG,JAWA BARAT,,,1,3,,0
3325,2022-02-17,Kec. Tersono Ds. Banten Kec. Blado Ds. Gerlang Ds. Keteleng Kec. Bawang Ds. Sangubanyu,BATANG,JAWA TENGAH,,,,2,,2
3323,2022-02-17,Kec. Kranggan Ds. Kranggan,TEMANGGUNG,JAWA TENGAH,,,,0,,0
3201,2022-02-17,Kec. Citereup  Ds. Gunungsari,BOGOR,JAWA BARAT,,,,2,,0
3604,2022-02-17,Kec. Bojonegara Ds. Pakuncen,SERANG,BANTEN,,,,0,,0
3201,2022-02-18,Kec. Sukajaya  Ds. Sipayung,BOGOR,JAWA BARAT,,,,0,,1
3202,2022-02-18,Kec. Cibadak Ds. Cibadak Kec. Sukabumi Ds. Warnasari Ds. Sukajaya Kec. Jampang Tengah Ds. Bantarpanjang,SUKABUMI,JAWA BARAT,,,,3,,0
3211,2022-02-18,Kec. Sumedang Selatan  Ds. Ciherang,SUMEDANG,JAWA BARAT,,,,0,,0
3204,2022-02-18,Kec. Cicalengka Ds. Tanjungwangi,BANDUNG,JAWA BARAT,,,1,1,,0
3204,2022-02-18,Kec. Pasirjambu Ds. Cukanggenteng,BANDUNG,JAWA BARAT,,,,1,,0
3602,2022-02-19,Kec. Cikukur Ds. Curug Panjang,LEBAK,BANTEN,,,,38,,0
3502,2022-02-19,Kec.  Ngrayun  Ds. Baosan Kidul,PONOROGO,JAWA TIMUR,,,,2,,0
3204,2022-02-19,Kec. Rancaekek Ds. Bojong Salam,BANDUNG,JAWA BARAT,,,,1,,0
1608,2022-02-21,Kec. Muaradua Kel. Bumi Agung,OGAN KOMERING ULU SELATAN,SUMATERA SELATAN,,,,0,,0
3207,2022-02-21,Kec. Lumbung Ds. Lumbung Kec. Cipaku Ds. Ciakar Ds. Cipaku Ds. Sukawening Ds. Jalatrang Kec. Sadanyana Ds. Tanjungsari,CIAMIS,JAWA BARAT,,,,5,,0
7171,2022-02-21,Kec. Tikala Kel. Tikara Baru  Kec.  Tumimping Kel. Sumompo Kec. Tuminting,KOTA MANADO,SULAWESI UTARA,,,,0,,0
3324,2022-02-21,Kec. Plantungan Ds. Mojoagung,KENDAL,JAWA TENGAH,,,,3,,0
